City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Sarkand,KZ,2020-10-24 01:22:47,45.41,79.92,34.32,88,100,8.19
84,Hambantota,LK,2020-10-24 01:18:40,6.12,81.12,75.2,100,20,6.93
85,Jaguaruana,BR,2020-10-24 01:22:47,-4.83,-37.78,78.62,75,14,8.25
86,New Norfolk,AU,2020-10-24 01:22:47,-42.78,147.06,61.0,56,99,4.0
87,Ratnagiri,IN,2020-10-24 01:22:47,16.98,73.3,77.07,89,79,7.99
88,Turhal,TR,2020-10-24 01:22:48,40.39,36.08,44.6,56,0,0.47
89,Butaritari,KI,2020-10-24 01:22:48,3.07,172.79,81.77,73,3,12.48
90,Ha Tinh,VN,2020-10-24 01:22:48,18.33,105.9,71.26,69,100,4.61
91,Thompson,CA,2020-10-24 01:22:48,55.74,-97.86,23.0,73,75,6.93
92,Hithadhoo,MV,2020-10-24 01:22:48,-0.6,73.08,82.42,78,12,10.87
93,East London,ZA,2020-10-24 01:22:49,-33.02,27.91,69.8,76,79,7.87
94,Tynda,RU,2020-10-24 01:22:49,55.17,124.72,22.6,92,0,3.27
95,Bambous Virieux,MU,2020-10-24 01:22:49,-20.34,57.76,73.4,73,40,11.41
96,Saint-Philippe,RE,2020-10-24 01:22:49,-21.36,55.77,71.6,73,0,6.93
97,Victoria,HK,2020-10-24 01:21:23,22.29,114.16,75.0,47,100,1.99
98,Berlevag,NO,2020-10-24 01:22:50,70.86,29.09,37.65,93,100,28.97
99,Yumen,CN,2020-10-24 01:22:50,40.28,97.2,40.24,55,0,4.68
100,Toksovo,RU,2020-10-24 01:22:50,60.15,30.52,36.0,86,10,6.46
101,Cabedelo,BR,2020-10-24 01:22:50,-6.98,-34.83,75.2,94,20,5.82
102,Tuatapere,NZ,2020-10-24 01:21:03,-46.13,167.68,72.0,49,100,15.99
103,Antofagasta,CL,2020-10-24 01:22:07,-23.65,-70.4,57.2,87,90,10.29
104,Aklavik,CA,2020-10-24 01:22:50,68.22,-135.01,26.6,86,5,5.82
105,Ahipara,NZ,2020-10-24 01:22:51,-35.17,173.17,69.55,66,21,7.63
106,Dwarka,IN,2020-10-24 01:22:51,22.24,68.97,81.32,60,0,7.85
107,Abu Dhabi,AE,2020-10-24 01:19:17,24.47,54.37,80.6,61,0,4.7
108,Sambava,MG,2020-10-24 01:22:51,-14.27,50.17,70.63,82,0,10.18
