   ,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Bredasdorp,ZA,2020-10-25 07:33:06,-34.53,20.04,68.0,64,100,10.29,overcast clouds
130,Katsuura,JP,2020-10-25 07:33:07,35.13,140.3,72.0,37,20,10.29,few clouds
131,Nantucket,US,2020-10-25 07:30:51,41.28,-70.1,53.01,77,90,19.46,overcast clouds
132,Kaitangata,NZ,2020-10-25 07:33:09,-46.28,169.85,51.01,91,100,11.01,overcast clouds
133,Leningradskiy,RU,2020-10-25 07:33:10,69.38,178.42,23.36,88,0,9.35,clear sky
134,Kakching,IN,2020-10-25 07:33:12,24.48,93.98,77.0,73,75,1.12,mist
135,Kurumkan,RU,2020-10-25 07:33:13,54.3,110.3,37.92,72,100,1.92,overcast clouds
136,Baykit,RU,2020-10-25 07:33:14,61.67,96.37,28.83,93,99,4.63,overcast clouds
137,Oropesa,PE,2020-10-25 07:33:15,-13.59,-71.77,52.47,64,85,2.73,overcast clouds
138,Kajaani,FI,2020-10-25 07:33:16,64.23,27.73,32.0,83,75,4.7,broken clouds
139,Palmeira,BR,2020-10-25 07:33:17,-25.43,-50.01,58.05,97,3,2.04,clear sky
140,Lavrentiya,RU,2020-10-25 07:33:18,65.58,-171.0,33.57,91,44,8.97,scattered clouds
141,Bonavista,CA,2020-10-25 07:33:19,48.65,-53.11,48.99,79,100,5.99,light rain
142,Bambous Virieux,MU,2020-10-25 07:33:20,-20.34,57.76,78.8,57,75,18.34,shower rain
143,Shelburne,CA,2020-10-25 07:32:42,44.08,-80.2,35.01,95,1,3.36,clear sky
144,Dehloran,IR,2020-10-25 07:33:22,32.69,47.27,90.18,10,0,6.42,clear sky
145,Quatre Cocos,MU,2020-10-25 07:33:24,-20.21,57.76,78.8,57,75,18.34,shower rain
146,Tarko-Sale,RU,2020-10-25 07:33:24,64.92,77.78,17.31,96,80,10.4,broken clouds
147,Broken Hill,AU,2020-10-25 07:33:25,-31.95,141.43,59.0,38,75,17.22,broken clouds
148,Dossor,KZ,2020-10-25 07:33:26,47.53,52.98,63.48,61,100,17.76,overcast clouds
149,Iralaya,HN,2020-10-25 07:33:28,15.0,-83.23,77.14,88,100,5.03,overcast clouds
150,Bathsheba,BB,2020-10-25 07:33:29,13.22,-59.52,82.4,74,40,20.8,scattered clouds
151,Mackay,AU,2020-10-25 07:33:30,-21.15,149.2,79.0,78,40,14.99,scattered clouds
152,Dzhebariki-Khaya,RU,2020-10-25 07:33:32,62.22,135.8,11.82,93,0,1.43,clear sky
153,Sinnamary,GF,2020-10-25 07:33:33,5.38,-52.95,79.47,81,0,9.28,clear sky
154,Maracaibo,VE,2020-10-25 07:33:34,10.63,-71.64,78.4,87,100,6.76,overcast clouds
155,Aloleng,PH,2020-10-25 07:33:34,16.13,119.78,83.61,79,100,5.97,light rain
